Seed,n,m,eps,tol,Iterationen,Zeit [s],Marginalfehler,Kosten,Kostendifferenz
7,128,128,0.5,1e-06,5045,0.08753728866577148,9.990544720811512e-07,2.224412288998031,0.042612132580354345
8,128,128,0.5,1e-06,6260,0.11432337760925293,9.992623266879413e-07,1.627108964457951,0.05133350352004573
9,128,128,0.5,1e-06,4959,0.0751805305480957,9.987465907530801e-07,4.41426082172156,0.017172834263367243
0,128,128,0.4,1e-06,6194,0.1021883487701416,9.993467860163613e-07,2.2652674144317677,0.015358635814488153
1,128,128,0.4,1e-06,6431,0.10233259201049805,9.998143003682458e-07,1.9066540282179298,0.02163566982347831
2,128,128,0.4,1e-06,6819,0.11049675941467285,9.990809754552993e-07,2.030970412117314,0.017197162604458693
3,128,128,0.4,1e-06,2687,0.04324030876159668,9.964886183363997e-07,4.40468867608058,0.010024213776331337
4,128,128,0.4,1e-06,5551,0.10058379173278809,9.987347672196084e-07,2.598266779941536,0.01110606709680706
5,128,128,0.4,1e-06,5380,0.08881783485412598,9.99599498478429e-07,2.6424425009720727,0.013842367209681239
6,128,128,0.4,1e-06,1138,0.018679380416870117,9.980777096359195e-07,6.3511436509415855,0.002526730719814907
7,128,128,0.4,1e-06,6748,0.11515951156616211,9.995678612872982e-07,2.1995867566146208,0.017786600196944224
8,128,128,0.4,1e-06,8283,0.12646484375,9.997821361767967e-07,1.5972926168895079,0.02151715595160253
9,128,128,0.4,1e-06,6140,0.10011172294616699,9.996341761402128e-07,4.4027340448237755,0.00564605736558299
0,128,128,0.3,1e-06,8385,0.14377522468566895,9.998247011075434e-07,2.2529554208925484,0.0030466422752688516
1,128,128,0.3,1e-06,9033,0.15888261795043945,9.994494288827899e-07,1.889947127297157,0.004928768902705549
2,128,128,0.3,1e-06,9487,0.1592252254486084,9.993898078194952e-07,2.0171971776486872,0.003423928135831922
3,128,128,0.3,1e-06,3567,0.06491780281066895,9.999612087842336e-07,4.396719097458754,0.0020546351545052133
4,128,128,0.3,1e-06,7285,0.11747574806213379,9.997770730532651e-07,2.5889460367237422,0.001785323879013312
5,128,128,0.3,1e-06,7414,0.13243961334228516,9.995039708925874e-07,2.6310761679667087,0.002476034204317301
6,128,128,0.3,1e-06,1441,0.02434992790222168,9.841468847290868e-07,6.3483046871741236,0.00031223304764704807
7,128,128,0.3,1e-06,9675,0.15870046615600586,9.994845246580342e-07,2.1853541415666085,0.003553985148931904
8,128,128,0.3,1e-06,11377,0.18390560150146484,9.99848203573142e-07,1.5802198495308475,0.004444388592942161
9,128,128,0.3,1e-06,7648,0.14057016372680664,9.997663120188405e-07,4.397014430227635,7.355723055724184e-05
0,128,128,0.2,1e-06,12511,0.19731783866882324,9.998445028216313e-07,2.2496873686670305,0.00022140995024910737
1,128,128,0.2,1e-06,14006,0.22557449340820312,9.99683767204107e-07,1.8845446935570394,0.0004736648374121799
2,128,128,0.2,1e-06,14576,0.25403475761413574,9.995742324686585e-07,2.013015985957021,0.0007572635558341645
3,128,128,0.2,1e-06,5158,0.07889318466186523,9.993610305958356e-07,4.394441656559083,0.000222805745165644
4,128,128,0.2,1e-06,10126,0.18162894248962402,9.988876192093543e-07,2.586620720304563,0.0005399925401659011
5,128,128,0.2,1e-06,11667,0.19376063346862793,9.993625951550816e-07,2.627537436932446,0.0010626968299454198
6,128,128,0.2,1e-06,2042,0.03231215476989746,9.985126551877166e-07,6.347643718525417,0.0009732016963539536
7,128,128,0.2,1e-06,14793,0.2646009922027588,9.99772558823997e-07,2.181343230898438,0.00045692551923837144
8,128,128,0.2,1e-06,16192,0.2848241329193115,9.998857240737374e-07,1.575377299968339,0.00039816096956624136
9,128,128,0.2,1e-06,10088,0.1676023006439209,9.996016342821157e-07,4.3956772790622765,0.0014107083959160605
0,128,128,0.1,1e-06,17037,0.2952229976654053,9.99903738226407e-07,2.249541747314333,0.0003670313029466854
1,128,128,0.1,1e-06,28233,0.5371661186218262,9.99568032331033e-07,1.8844960265244335,0.0005223318700180446
2,128,128,0.1,1e-06,31403,0.571770191192627,9.995387118665738e-07,2.0128556965417936,0.0009175529710616637
3,128,128,0.1,1e-06,8721,0.17311978340148926,9.992511506660279e-07,4.394342422093878,0.00032204021037074426
4,128,128,0.1,1e-06,17820,0.32091355323791504,9.99104808342352e-07,2.586530514075472,0.0006301987692567401
5,128,128,0.1,1e-06,23298,0.440279483795166,9.993797630541285e-07,2.6273744737597045,0.001225660002686979
6,128,128,0.1,1e-06,3867,0.07379484176635742,9.808566501998128e-07,6.347636134074332,0.0009807861474389057
7,128,128,0.1,1e-06,35513,0.7552127838134766,9.999669984394471e-07,2.1816621204035513,0.00013803601412520905
8,128,128,0.1,1e-06,34026,0.5596349239349365,9.998366007971105e-07,1.5752533738450185,0.0005220870928868138
9,128,128,0.1,1e-06,17183,0.30829882621765137,9.998247347126066e-07,4.395626923506919,0.0014610639512735446
0,128,128,0.09,1e-06,17899,0.3200795650482178,9.99911408864837e-07,2.249541738575635,0.0003670400416444508
1,128,128,0.09,1e-06,31271,0.5870497226715088,9.998307316880922e-07,1.884496094750637,0.000522263643814469
2,128,128,0.09,1e-06,35634,0.6162083148956299,9.996146404355616e-07,2.0128881073849656,0.0008851421278897043
3,128,128,0.09,1e-06,9511,0.18480634689331055,9.997462508352234e-07,4.394342203529897,0.0003222587743518801
4,128,128,0.09,1e-06,19533,0.3448936939239502,9.997069752819276e-07,2.5865301293750838,0.000630583469645174
5,128,128,0.09,1e-06,25885,0.464022159576416,9.993645630514136e-07,2.6273744854147574,0.0012256483476340563
6,128,128,0.09,1e-06,4274,0.07157158851623535,9.821069425590412e-07,6.347632583546742,0.0009843366750281746
7,128,128,0.09,1e-06,38078,0.6815586090087891,9.999978501807477e-07,2.1816623253591763,0.00013783105850029287
8,128,128,0.09,1e-06,38136,0.6938869953155518,9.995818182496202e-07,1.5752536307361074,0.0005218302017979681
9,128,128,0.09,1e-06,18764,0.36405467987060547,9.994911566515996e-07,4.395627407444115,0.0014605800140774505
0,128,128,0.08,1e-06,18975,0.37664365768432617,9.999402557549913e-07,2.249541728011926,0.00036705060535346945
1,128,128,0.08,1e-06,35081,0.6288731098175049,9.998518119211375e-07,1.884496105588294,0.0005222528061574749
2,128,128,0.08,1e-06,40971,0.7731363773345947,9.99710607199611e-07,2.012904538955138,0.0008687105577172005
3,128,128,0.08,1e-06,10504,0.18409323692321777,9.98388654298299e-07,4.394342506086431,0.00032195621781738737
4,128,128,0.08,1e-06,21677,0.44058680534362793,9.989124720808512e-07,2.5865306316834147,0.0006300811613142443
5,128,128,0.08,1e-06,29121,0.5441539287567139,9.993266997364997e-07,2.627374530339371,0.0012256034230202495
6,128,128,0.08,1e-06,100000,1.8142852783203125,nan,nan,nan
7,128,128,0.08,1e-06,41243,0.7660696506500244,9.99930250496217e-07,2.1816623605420444,0.00013779587563211848
8,128,128,0.08,1e-06,43287,0.8959312438964844,9.999780901312483e-07,1.5752534916806953,0.0005219692572100421
9,128,128,0.08,1e-06,100000,1.8923065662384033,nan,nan,nan
0,128,128,1.0,1e-07,3166,0.06179380416870117,9.994398120737047e-08,2.4939840281091508,0.2440752494918712
1,128,128,1.0,1e-07,2936,0.05922102928161621,9.978711310379418e-08,2.1625254766786792,0.2775071182842277
2,128,128,1.0,1e-07,2765,0.0484623908996582,9.98594769270611e-08,2.2760203729904704,0.26224712347761514
3,128,128,1.0,1e-07,1278,0.021682024002075195,9.920334986118773e-08,4.560266179125411,0.1656017168211621
4,128,128,1.0,1e-07,2684,0.049007415771484375,9.97224994837842e-08,2.7920566684744843,0.20489595562975538
5,128,128,1.0,1e-07,2352,0.045923709869384766,9.988454741267916e-08,2.8407776360972012,0.2121775023348098
6,128,128,1.0,1e-07,627,0.012925386428833008,9.793636394223038e-08,6.428378551267315,0.07976163104554423
7,128,128,1.0,1e-07,2667,0.05786538124084473,9.996733870212826e-08,2.4339452673556643,0.25214511093798775
